id,average,a_plus,a,a_minus,b_plus,b,b_minus,c_plus,c,c_minus,total_enrolled,course_id,dfw
71166,3.916577838000602,35,36,8,2,0,0,0,0,1,82,8490.0,0
71167,3.706289096715915,12,102,32,19,10,4,1,3,1,185,8491.0,1
71168,3.6681481562123563,7,52,34,12,8,2,2,1,4,134,8492.0,0
71169,3.652727272727272,5,12,15,5,6,1,0,0,0,44,8494.0,0
71170,,0,0,0,1,0,1,1,0,0,3,8495.0,0
71171,3.3526773455869563,0,260,489,435,352,117,41,27,6,1748,8502.0,21
71172,3.232007672634271,4,221,318,368,334,165,70,30,16,1564,8503.0,38
71173,3.1156747404653977,13,103,101,121,80,48,28,28,13,578,8504.0,43
71174,3.0271176470588235,0,10,27,43,47,16,10,7,2,170,8505.0,8
71175,3.31567688380811,6,52,78,83,47,33,5,4,4,324,8506.0,12
71176,3.3315116279069765,0,17,28,14,7,9,4,3,1,86,8507.0,3
71177,2.9276213820078225,0,14,47,59,65,46,27,10,6,295,8508.0,21
71178,3.4005027932960896,1,44,34,47,29,10,5,2,1,179,8509.0,6
